,Benthic,Littoral
Diptera,291999,30521
Ephemeroptera,439,103546
Cyclopoida,31294,3569
Coleoptera,264,734
undetermined_arthropoda,80842,16588
undetermined_cnidaria,9105,6074
Lepidoptera,28,9461
Naviculales,5005,6998
Cichliformes,1370,1235
Venerida,454,3653
Tubificida,1312,3204
undetermined_ascomycota,196,186
Crassiclitellata,13,3625
Hymenoptera,192,4699
Amphipoda,26,53
Sporidiobolales,0,12
undetermined_playhelminthes,18,1075
Unionida,0,983
Hypocreales,913,11
undetermined_chlorophyta,123,389
Melosirales,189,21
Pythiales,39,0
Saccharomycetales,4,4