,Field_ID,Date,Season,Field_ID.1,Standard_length
G01-A02_S233_F_filt.fastq,G01A02,Jul_14,Summer_14,Intermediate,53.8
G01-A02_S93_F_filt.fastq,G01A02,Jul_14,Summer_14,Intermediate,53.8
G01-D01_S99_F_filt.fastq,G01D01,Jul_14,Summer_14,Intermediate,54.4
G01-E04_S12_F_filt.fastq,G01E04,Jul_14,Summer_14,Intermediate,54
G01-E04_S55_F_filt.fastq,G01E04,Jul_14,Summer_14,Intermediate,54
G01-F09_S212_F_filt.fastq,G01F09,Aug_14,Summer_14,Intermediate,49.2
G01-F09_S75_F_filt.fastq,G01F09,Aug_14,Summer_14,Intermediate,49.2
G02-A09_S113_F_filt.fastq,G02A09,Aug_14,Summer_14,Intermediate,52.1
G02-B07_S7_F_filt.fastq,G02B07,Aug_14,Summer_14,Littoral,80
G02-D03_S3_F_filt.fastq,G02D03,Aug_14,Summer_14,Benthic,93.7
G02-E03_S89_F_filt.fastq,G02E03,Aug_14,Summer_14,Intermediate,44.4
G02-E05_S158_F_filt.fastq,G02E05,Aug_14,Summer_14,Intermediate,47.5
G02-E05_S185_F_filt.fastq,G02E05,Aug_14,Summer_14,Intermediate,47.5
G02-E06_S209_F_filt.fastq,G02E06,Aug_14,Summer_14,Intermediate,47.3
G02-E08_S246_F_filt.fastq,G02E08,Aug_14,Summer_14,Intermediate,42.5
G02-F03_S165_F_filt.fastq,G02F03,Aug_14,Summer_14,Intermediate,51.2
G02-F04_S41_F_filt.fastq,G02F04,Aug_14,Summer_14,Intermediate,51
G03-A06_S270_F_filt.fastq,G03A06,Dec_14,Winter_14,Littoral,60.22
G03-B06_S222_F_filt.fastq,G03B06,Dec_14,Winter_14,Intermediate,61.47
G03-C01_S281_F_filt.fastq,G03C01,Dec_14,Winter_14,Intermediate,59.52
G03-C03_S242_F_filt.fastq,G03C03,Dec_14,Winter_14,Intermediate,61.71
G03-C05_S123_F_filt.fastq,G03C05,Dec_14,Winter_14,Intermediate,62.49
G03-F07_S208_F_filt.fastq,G03F07,Dec_14,Winter_14,Littoral,89.31
G03-F07_S83_F_filt.fastq,G03F07,Dec_14,Winter_14,Littoral,89.31
G03-G04_S16_F_filt.fastq,G03G04,Dec_14,Winter_14,Littoral,84.76
G03-G04_S198_F_filt.fastq,G03G04,Dec_14,Winter_14,Littoral,84.76
G03-J08_S174_F_filt.fastq,G03J08,Dec_14,Winter_14,Littoral,63.48
G04-D03_S266_F_filt.fastq,G04D03,Dec_14,Winter_14,Littoral,64.56
G04-G05_S31_F_filt.fastq,G04G05,Dec_14,Winter_14,Benthic,85.51
G06-G05_S103_F_filt.fastq,G06G05,Dec_14,Winter_14,Littoral,86.18
G08-A02_S203_F_filt.fastq,G08A02,Aug_15,Summer_15,Benthic,85
G08-A09_S227_F_filt.fastq,G08A09,Aug_15,Summer_15,Benthic,72
G08-B02_S159_F_filt.fastq,G08B02,Aug_15,Summer_15,Benthic,81.5
G08-B03_S265_F_filt.fastq,G08B03,Aug_15,Summer_15,Benthic,64
G08-B04_S37_F_filt.fastq,G08B04,Aug_15,Summer_15,Benthic,72.5
G08-B05_S271_F_filt.fastq,G08B05,Aug_15,Summer_15,Benthic,74
G08-B06_S173_F_filt.fastq,G08B06,Aug_15,Summer_15,Benthic,84.5
G08-B06_S61_F_filt.fastq,G08B06,Aug_15,Summer_15,Benthic,84.5
G08-B07_S108_F_filt.fastq,G08B07,Aug_15,Summer_15,Benthic,72
G08-B08_S133_F_filt.fastq,G08B08,Aug_15,Summer_15,Benthic,85
G08-B08_S207_F_filt.fastq,G08B08,Aug_15,Summer_15,Benthic,85
G08-B09_S194_F_filt.fastq,G08B09,Aug_15,Summer_15,Benthic,84
G08-B09_S86_F_filt.fastq,G08B09,Aug_15,Summer_15,Benthic,84
G08-C01_S230_F_filt.fastq,G08C01,Aug_15,Summer_15,Benthic,84
G08-C02_S156_F_filt.fastq,G08C02,Aug_15,Summer_15,Benthic,74.5
G08-C03_S226_F_filt.fastq,G08C03,Aug_15,Summer_15,Benthic,87
G08-C06_S135_F_filt.fastq,G08C06,Aug_15,Summer_15,Benthic,0
G08-D01_S182_F_filt.fastq,G08D01,Aug_15,Summer_15,Benthic,87
G08-D02_S131_F_filt.fastq,G08D02,Aug_15,Summer_15,Benthic,78
G08-D03_S102_F_filt.fastq,G08D03,Aug_15,Summer_15,Benthic,86
G08-D03_S245_F_filt.fastq,G08D03,Aug_15,Summer_15,Benthic,86
G08-D04_S107_F_filt.fastq,G08D04,Aug_15,Summer_15,Benthic,81
G08-D05_S179_F_filt.fastq,G08D05,Aug_15,Summer_15,Benthic,0
G08-D07_S15_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D07_S160_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D07_S184_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D07_S85_F_filt.fastq,G08D07,Aug_15,Summer_15,Benthic,73.5
G08-D10_S39_F_filt.fastq,G08D10,Aug_15,Summer_15,Benthic,76.74
G08-E01_S112_F_filt.fastq,G08E01,Aug_15,Summer_15,Benthic,81.51
G08-E01_S250_F_filt.fastq,G08E01,Aug_15,Summer_15,Benthic,81.51
G08-E02_S164_F_filt.fastq,G08E02,Aug_15,Summer_15,Benthic,87.27
G08-E03_S84_F_filt.fastq,G08E03,Aug_15,Summer_15,Benthic,75.24
G08-E04_S87_F_filt.fastq,G08E04,Aug_15,Summer_15,Benthic,78.47
G08-E05_S111_F_filt.fastq,G08E05,Aug_15,Summer_15,Benthic,70.21
G08-E05_S88_F_filt.fastq,G08E05,Aug_15,Summer_15,Benthic,70.21
G08-E07_S136_F_filt.fastq,G08E07,Aug_15,Summer_15,Benthic,71.38
G08-E07_S274_F_filt.fastq,G08E07,Aug_15,Summer_15,Benthic,71.38
G08-E07_S51_F_filt.fastq,G08E07,Aug_15,Summer_15,Benthic,71.38
G08-E08_S161_F_filt.fastq,G08E08,Aug_15,Summer_15,Benthic,0
G08-E09_S11_F_filt.fastq,G08E09,Aug_15,Summer_15,Benthic,65.08
G08-F07_S109_F_filt.fastq,G08F07,Aug_15,Summer_15,Benthic,80.5
G08-G01_S134_F_filt.fastq,G08G01,Aug_15,Summer_15,Littoral,83.06
G08-G01_S137_F_filt.fastq,G08G01,Aug_15,Summer_15,Littoral,83.06
G08-G03_S40_F_filt.fastq,G08G03,Aug_15,Summer_15,Littoral,82.88
G08-G03-GL_S280_F_filt.fastq,G08G03,Aug_15,Summer_15,Littoral,82.88
G08-H06_S237_F_filt.fastq,G08H06,Aug_15,Summer_15,Littoral,86.23
G08-H06_S36_F_filt.fastq,G08H06,Aug_15,Summer_15,Littoral,86.23
G08-H08_S140_F_filt.fastq,G08H08,Aug_15,Summer_15,Littoral,94.24
G08-H09_S206_F_filt.fastq,G08H09,Aug_15,Summer_15,Littoral,101.42
G08-H10_S157_F_filt.fastq,G08H10,Aug_15,Summer_15,Littoral,88.9
G08-H10_S181_F_filt.fastq,G08H10,Aug_15,Summer_15,Littoral,88.9
G08-H10_S255_F_filt.fastq,G08H10,Aug_15,Summer_15,Littoral,88.9
G08-I01_S221_F_filt.fastq,G08I01,Aug_15,Summer_15,Littoral,87.33
G08-I01_S38_F_filt.fastq,G08I01,Aug_15,Summer_15,Littoral,87.33
G08-I02_S197_F_filt.fastq,G08I02,Aug_15,Summer_15,Littoral,79.3
G08-I02_S254_F_filt.fastq,G08I02,Aug_15,Summer_15,Littoral,79.3
G08-I02_S98_F_filt.fastq,G08I02,Aug_15,Summer_15,Littoral,79.3
G08-I03_S122_F_filt.fastq,G08I03,Aug_15,Summer_15,Littoral,86.49
G08-I05_S6_F_filt.fastq,G08I05,Aug_15,Summer_15,Littoral,85.46
G08-I07_S154_F_filt.fastq,G08I07,Aug_15,Summer_15,Littoral,83.18
G08-I08_S229_F_filt.fastq,G08I08,Aug_15,Summer_15,Littoral,80.74
G08-I09_S202_F_filt.fastq,G08I08,Aug_15,Summer_15,Littoral,80.74
G08E05_S180_F_filt.fastq,G08E05,Aug_15,Summer_15,Benthic,70.21
G09-B-08_S228_F_filt.fastq,G09B08,Aug_15,Summer_15,Littoral,86
G09-B-08_S275_F_filt.fastq,G09B08,Aug_15,Summer_15,Littoral,86
G09-B06_S278_F_filt.fastq,G09B06,Aug_15,Summer_15,Littoral,78
G09-B06_S64_F_filt.fastq,G09B06,Aug_15,Summer_15,Littoral,97
G09-B07_S17_F_filt.fastq,G09B07,Aug_15,Summer_15,Littoral,97
G09-B07_S58_F_filt.fastq,G09B07,Aug_15,Summer_15,Littoral,97
G09-B08_S141_F_filt.fastq,G09B08,Aug_15,Summer_15,Littoral,86
G09-B08_S30_F_filt.fastq,G09B08,Aug_15,Summer_15,Littoral,86
G09-B09_S106_F_filt.fastq,G09B09,Aug_15,Summer_15,Littoral,67.5
G09-B10_S82_F_filt.fastq,G09B10,Aug_15,Summer_15,Littoral,67
G09-C01_S132_F_filt.fastq,G09C01,Aug_15,Summer_15,Littoral,63.5
G09-C02_S105_F_filt.fastq,G09C02,Aug_15,Summer_15,Littoral,77
G09-C02_S205_F_filt.fastq,G09C02,Aug_15,Summer_15,Littoral,77
G09-C03_S34_F_filt.fastq,G09C03,Aug_15,Summer_15,Littoral,83
G09-C04_S92_F_filt.fastq,G09C04,Aug_15,Summer_15,Littoral,86.5
G09-C05_S116_F_filt.fastq,G09C05,Aug_15,Summer_15,Littoral,0
G09-C05_S130_F_filt.fastq,G09C05,Aug_15,Summer_15,Littoral,0
G09-C05_S178_F_filt.fastq,G09C05,Aug_15,Summer_15,Littoral,0
G09-C05_S54_F_filt.fastq,G09C05,Aug_15,Summer_15,Littoral,0
G09-C07_S149_F_filt.fastq,G09C07,Aug_15,Summer_15,Littoral,69
G09-C07_S26_F_filt.fastq,G09C07,Aug_15,Summer_15,Littoral,69
G09-C08_S117_F_filt.fastq,G09C08,Aug_15,Summer_15,Littoral,64
G09-C08_S13_F_filt.fastq,G09C08,Aug_15,Summer_15,Littoral,64
G09-C08_S50_F_filt.fastq,G09C08,Aug_15,Summer_15,Littoral,64
G09-C09_S10_F_filt.fastq,G09C09,Aug_15,Summer_15,Littoral,61
G10-E02_S183_F_filt.fastq,G10E02,May_16,Summer_16,Benthic,79.84
G10-E02_S273_F_filt.fastq,G10E02,May_16,Summer_16,Benthic,79.84
G10-E03_S193_F_filt.fastq,G10E03,May_16,Summer_16,Benthic,85.85
G10-E04_S145_F_filt.fastq,G10E04,May_16,Summer_16,Benthic,83.89
G10-E06_S68_F_filt.fastq,G10E06,May_16,Summer_16,Benthic,86.78
G10-E08_S29_F_filt.fastq,G10E08,May_16,Summer_16,Benthic,83.62
G10-E10_S5_F_filt.fastq,G10E10,May_16,Summer_16,Benthic,84.55
G10-F01_S101_F_filt.fastq,G10F01,May_16,Summer_16,Benthic,83.89
G10-F03_S201_F_filt.fastq,G10F03,May_16,Summer_16,Benthic,86.7
G10-F04_S267_F_filt.fastq,G10F04,May_16,Summer_16,Benthic,99.84
G10-F07_S104_F_filt.fastq,G10F07,May_16,Summer_16,Benthic,89.39
G10-F08_S25_F_filt.fastq,G10F08,May_16,Summer_16,Benthic,67.33
G10-F09_S114_F_filt.fastq,G10F09,May_16,Summer_16,Benthic,87.4
G10-F09_S125_F_filt.fastq,G10F09,May_16,Summer_16,Benthic,87.4
G10-F10_S151_F_filt.fastq,G10F10,May_16,Summer_16,Benthic,85.55
G10-G01_S115_F_filt.fastq,G10G01,May_16,Summer_16,Benthic,87.26
G10-G03_S139_F_filt.fastq,G10G03,May_16,Summer_16,Benthic,81.52
G10-G03_S81_F_filt.fastq,G10G03,May_16,Summer_16,Benthic,81.52
G10-G03_S91_F_filt.fastq,G10G03,May_16,Summer_16,Benthic,81.52
G10-G03-GL_S129_F_filt.fastq,G10G03,May_16,Summer_16,Benthic,81.52
G10-G03GL_S20_F_filt.fastq,G10G03,May_16,Summer_16,Benthic,81.52
G10-G05_S223_F_filt.fastq,G10G05,May_16,Summer_16,Littoral,69.76
G10-G05_S283_F_filt.fastq,G10G05,May_16,Summer_16,Littoral,69.76
G10-G07_S44_F_filt.fastq,G10G07,May_16,Summer_16,Littoral,75.45
G10-G08-GL-ONLY_S284_F_filt.fastq,G10G08,May_16,Summer_16,Littoral,70.87
G10-G09-GL_S282_F_filt.fastq,G10G09,May_16,Summer_16,Littoral,75.42
G10-G10_S53_F_filt.fastq,G10G10,May_16,Summer_16,Littoral,74.31
G10-H01_S73_F_filt.fastq,G10H01,May_16,Summer_16,Littoral,83.13
G10-H01_S78_F_filt.fastq,G10H01,May_16,Summer_16,Littoral,83.13
G10-H02_S285_F_filt.fastq,G10H02,May_16,Summer_16,Littoral,81.88
G10-H02_S56_F_filt.fastq,G10H02,May_16,Summer_16,Littoral,81.88
G10-H03_S225_F_filt.fastq,G10H03,May_16,Summer_16,Littoral,88.21
G10-H04_S121_F_filt.fastq,G10H04,May_16,Summer_16,Littoral,74.85
G10-H05_S32_F_filt.fastq,G10H05,May_16,Summer_16,Littoral,80.36
G10-H07-GL-ONLY_S21_F_filt.fastq,G10H07,May_16,Summer_16,Littoral,75.73
G10D09_S195_F_filt.fastq,G10D09,May_16,Summer_16,Benthic,71.57
G10E01_S176_F_filt.fastq,G10E01,May_16,Summer_16,Benthic,89.83
G10E01-GL_S248_F_filt.fastq,G10E01,May_16,Summer_16,Benthic,85.23
G10E07_S247_F_filt.fastq,G10E07,May_16,Summer_16,Benthic,79.55
G10F05_S213_F_filt.fastq,G10F05,May_16,Summer_16,Benthic,84.72
G10F05_S8_F_filt.fastq,G10F05,May_16,Summer_16,Benthic,84.72
G10F08-GL_S272_F_filt.fastq,G10F08,May_16,Summer_16,Benthic,67.33
G11-A07-GL-ONLY_S153_F_filt.fastq,G11A07,May_16,Summer_16,Littoral,111.9
G03-G10_S150_F_filt.fastq,G03-G10,May_17,Summer_17,Benthic,92.92