,SampleSite
01-02-02-04_S35_F_filt.fastq,Florida
01-02-04-06_S177_F_filt.fastq,Florida
01-02-04-07_S169_F_filt.fastq,Florida
03-01-01-04-1_S224_F_filt.fastq,Florida
03-02-02-04_S45_F_filt.fastq,Florida
03-02-02-13_S65_F_filt.fastq,Florida
04-02-02-02_S2_F_filt.fastq,Florida
04-02-02-08_S126_F_filt.fastq,Florida
11-02-02-03_S110_F_filt.fastq,Florida
11-02-03-01_S204_F_filt.fastq,Florida
12-02-01-13_S80_F_filt.fastq,Florida
12-02-03-07_S189_F_filt.fastq,Florida
12-02-03-08_S258_F_filt.fastq,Florida
14-02-02-01_S232_F_filt.fastq,Florida
BLANK_S146_F_filt.fastq,BLANK
BLANK_S147_F_filt.fastq,BLANK
BLANK_S155_F_filt.fastq,BLANK
BLANK_S162_F_filt.fastq,BLANK
BLANK_S163_F_filt.fastq,BLANK
BLANK_S170_F_filt.fastq,BLANK
BLANK_S19_F_filt.fastq,BLANK
BLANK_S196_F_filt.fastq,BLANK
BLANK_S217_F_filt.fastq,BLANK
BLANK_S241_F_filt.fastq,BLANK
BLANK_S256_F_filt.fastq,BLANK
BLANK_S257_F_filt.fastq,BLANK
BLANK_S261_F_filt.fastq,BLANK
BLANK_S27_F_filt.fastq,BLANK
BLANK_S276_F_filt.fastq,BLANK
BLANK_S33_F_filt.fastq,BLANK
BLANK_S60_F_filt.fastq,BLANK
BLANK_S63_F_filt.fastq,BLANK
BLANK_S76_F_filt.fastq,BLANK
BLANK_S79_F_filt.fastq,BLANK
BLANK_S97_F_filt.fastq,BLANK
G01-A02_S233_F_filt.fastq,Intermediate
G01-A02_S93_F_filt.fastq,Intermediate
G01-D01_S99_F_filt.fastq,Intermediate
G01-E04_S12_F_filt.fastq,Intermediate
G01-E04_S55_F_filt.fastq,Intermediate
G01-F09_S212_F_filt.fastq,Intermediate
G01-F09_S75_F_filt.fastq,Intermediate
G02-A09_S113_F_filt.fastq,Intermediate
G02-B07_S7_F_filt.fastq,Littoral
G02-D03_S3_F_filt.fastq,Benthic
G02-E03_S89_F_filt.fastq,Intermediate
G02-E05_S158_F_filt.fastq,Intermediate
G02-E05_S185_F_filt.fastq,Intermediate
G02-E06_S209_F_filt.fastq,Intermediate
G02-E08_S246_F_filt.fastq,Intermediate
G02-F03_S165_F_filt.fastq,Intermediate
G02-F04_S41_F_filt.fastq,Intermediate
G03-A06_S270_F_filt.fastq,Littoral
G03-B06_S222_F_filt.fastq,Intermediate
G03-C01_S281_F_filt.fastq,Intermediate
G03-C03_S242_F_filt.fastq,Intermediate
G03-C05_S123_F_filt.fastq,Benthic
G03-F07_S208_F_filt.fastq,Littoral
G03-F07_S83_F_filt.fastq,Littoral
G03-G04_S16_F_filt.fastq,Littoral
G03-G04_S198_F_filt.fastq,Littoral
G03-G10_S150_F_filt.fastq,Benthic
G03-J08_S174_F_filt.fastq,Littoral
G04-D03_S266_F_filt.fastq,Littoral
G04-G05_S31_F_filt.fastq,Benthic
G06-G05_S103_F_filt.fastq,Littoral
G08-A02_S171_F_filt.fastq,Benthic
G08-A02_S203_F_filt.fastq,Benthic
G08-A09_S227_F_filt.fastq,Benthic
G08-B02_S159_F_filt.fastq,Benthic
G08-B03_S265_F_filt.fastq,Benthic
G08-B04_S37_F_filt.fastq,Benthic
G08-B05_S271_F_filt.fastq,Benthic
G08-B06_S173_F_filt.fastq,Benthic
G08-B06_S61_F_filt.fastq,Benthic
G08-B07_S108_F_filt.fastq,Benthic
G08-B08_S133_F_filt.fastq,Benthic
G08-B08_S207_F_filt.fastq,Benthic
G08-B09_S194_F_filt.fastq,Benthic
G08-B09_S86_F_filt.fastq,Benthic
G08-C01_S230_F_filt.fastq,Benthic
G08-C02_S156_F_filt.fastq,Benthic
G08-C02_S218_F_filt.fastq,Benthic
G08-C03_S226_F_filt.fastq,Benthic
G08-C06_S135_F_filt.fastq,Benthic
G08-D01_S182_F_filt.fastq,Benthic
G08-D02_S131_F_filt.fastq,Benthic
G08-D03_S102_F_filt.fastq,Benthic
G08-D03_S245_F_filt.fastq,Benthic
G08-D03_S268_F_filt.fastq,Benthic
G08-D04_S107_F_filt.fastq,Benthic
G08-D05_S179_F_filt.fastq,Benthic
G08-D07_S15_F_filt.fastq,Benthic
G08-D07_S160_F_filt.fastq,Benthic
G08-D07_S184_F_filt.fastq,Benthic
G08-D07_S85_F_filt.fastq,Benthic
G08-D10_S39_F_filt.fastq,Benthic
G08-E01_S112_F_filt.fastq,Benthic
G08-E01_S250_F_filt.fastq,Benthic
G08-E02_S164_F_filt.fastq,Benthic
G08-E03_S84_F_filt.fastq,Benthic
G08-E04_S87_F_filt.fastq,Benthic
G08-E05_S111_F_filt.fastq,Benthic
G08-E05_S88_F_filt.fastq,Benthic
G08-E07_S136_F_filt.fastq,Benthic
G08-E07_S274_F_filt.fastq,Benthic
G08-E07_S51_F_filt.fastq,Benthic
G08-E08_S161_F_filt.fastq,Benthic
G08-E08_S59_F_filt.fastq,Benthic
G08-E09_S11_F_filt.fastq,Benthic
G08-F07_S109_F_filt.fastq,Benthic
G08-G01_S134_F_filt.fastq,Littoral
G08-G01_S137_F_filt.fastq,Littoral
G08-G03_S40_F_filt.fastq,Littoral
G08-G03-GL_S280_F_filt.fastq,Littoral
G08-H06_S237_F_filt.fastq,Littoral
G08-H06_S36_F_filt.fastq,Littoral
G08-H08_S140_F_filt.fastq,Littoral
G08-H09_S206_F_filt.fastq,Littoral
G08-H10_S157_F_filt.fastq,Littoral
G08-H10_S181_F_filt.fastq,Littoral
G08-H10_S255_F_filt.fastq,Littoral
G08-I01_S221_F_filt.fastq,Littoral
G08-I01_S38_F_filt.fastq,Littoral
G08-I02_S197_F_filt.fastq,Littoral
G08-I02_S254_F_filt.fastq,Littoral
G08-I02_S98_F_filt.fastq,Littoral
G08-I03_S122_F_filt.fastq,Littoral
G08-I04_S62_F_filt.fastq,Littoral
G08-I05_S6_F_filt.fastq,Littoral
G08-I07_S154_F_filt.fastq,Littoral
G08-I08_S229_F_filt.fastq,Littoral
G08-I09_S202_F_filt.fastq,Littoral
G08E05_S180_F_filt.fastq,Littoral
G09-B-08_S228_F_filt.fastq,Littoral
G09-B-08_S275_F_filt.fastq,Littoral
G09-B06_S278_F_filt.fastq,Littoral
G09-B06_S64_F_filt.fastq,Littoral
G09-B07_S17_F_filt.fastq,Littoral
G09-B07_S58_F_filt.fastq,Littoral
G09-B08_S141_F_filt.fastq,Littoral
G09-B08_S30_F_filt.fastq,Littoral
G09-B09_S106_F_filt.fastq,Littoral
G09-B10_S82_F_filt.fastq,Littoral
G09-C01_S132_F_filt.fastq,Littoral
G09-C01_S14_F_filt.fastq,Littoral
G09-C02_S105_F_filt.fastq,Littoral
G09-C02_S205_F_filt.fastq,Littoral
G09-C03_S34_F_filt.fastq,Littoral
G09-C04_S28_F_filt.fastq,Littoral
G09-C04_S92_F_filt.fastq,Littoral
G09-C05_S116_F_filt.fastq,Littoral
G09-C05_S130_F_filt.fastq,Littoral
G09-C05_S178_F_filt.fastq,Littoral
G09-C05_S54_F_filt.fastq,Littoral
G09-C07_S149_F_filt.fastq,Littoral
G09-C07_S26_F_filt.fastq,Littoral
G09-C08_S117_F_filt.fastq,Littoral
G09-C08_S13_F_filt.fastq,Littoral
G09-C08_S50_F_filt.fastq,Littoral
G09-C09_S10_F_filt.fastq,Littoral
G09-D02_S200_F_filt.fastq,Outgroup
G09-D02_S231_F_filt.fastq,Outgroup
G09-D02_S277_F_filt.fastq,Outgroup
G09-D08_S234_F_filt.fastq,Outgroup
G09-D08_S74_F_filt.fastq,Outgroup
G09-E02_S172_F_filt.fastq,Outgroup
G09-E02_S220_F_filt.fastq,Outgroup
G09-G02_S269_F_filt.fastq,Unknown
G09-G06_S252_F_filt.fastq,Unknown
G10-C03_S249_F_filt.fastq,Outgroup
G10-C03_S9_F_filt.fastq,Outgroup
G10-C03-GL_S57_F_filt.fastq,Outgroup
G10-C04_S279_F_filt.fastq,Outgroup
G10-C04_S90_F_filt.fastq,Outgroup
G10-D05-GL-ONLY_S188_F_filt.fastq,Benthic
G10-D06_S18_F_filt.fastq,Outgroup
G10-D06-GL-ONLY_S186_F_filt.fastq,Outgroup
G10-D06-GL-ONLY_S236_F_filt.fastq,Outgroup
G10-D08_S127_F_filt.fastq,Outgroup
G10-D10_S77_F_filt.fastq,Benthic
G10-E02_S183_F_filt.fastq,Benthic
G10-E02_S273_F_filt.fastq,Benthic
G10-E03_S193_F_filt.fastq,Benthic
G10-E04_S145_F_filt.fastq,Benthic
G10-E05_S124_F_filt.fastq,Benthic
G10-E06_S100_F_filt.fastq,Benthic
G10-E06_S68_F_filt.fastq,Benthic
G10-E08_S29_F_filt.fastq,Benthic
G10-E09-GL-ONLY_S69_F_filt.fastq,Benthic
G10-E10_S5_F_filt.fastq,Benthic
G10-F01_S101_F_filt.fastq,Benthic
G10-F02_S152_F_filt.fastq,Benthic
G10-F03_S201_F_filt.fastq,Benthic
G10-F04_S267_F_filt.fastq,Benthic
G10-F04-GL_S259_F_filt.fastq,Benthic
G10-F05GL_S138_F_filt.fastq,Benthic
G10-F06_S4_F_filt.fastq,Benthic
G10-F07_S104_F_filt.fastq,Benthic
G10-F08_S25_F_filt.fastq,Benthic
G10-F09_S114_F_filt.fastq,Benthic
G10-F09_S125_F_filt.fastq,Benthic
G10-F10_S151_F_filt.fastq,Benthic
G10-G01_S115_F_filt.fastq,Benthic
G10-G03_S139_F_filt.fastq,Benthic
G10-G03_S81_F_filt.fastq,Benthic
G10-G03_S91_F_filt.fastq,Benthic
G10-G03-GL_S129_F_filt.fastq,Benthic
G10-G03GL_S187_F_filt.fastq,Benthic
G10-G03GL_S20_F_filt.fastq,Benthic
G10-G04-GL-ONLY_S260_F_filt.fastq,Littoral
G10-G05_S223_F_filt.fastq,Littoral
G10-G05_S283_F_filt.fastq,Littoral
G10-G07_S44_F_filt.fastq,Littoral
G10-G08-GL-ONLY_S284_F_filt.fastq,Littoral
G10-G09-GL_S282_F_filt.fastq,Littoral
G10-G10_S53_F_filt.fastq,Littoral
G10-H01_S73_F_filt.fastq,Littoral
G10-H01_S78_F_filt.fastq,Littoral
G10-H02_S285_F_filt.fastq,Littoral
G10-H02_S56_F_filt.fastq,Littoral
G10-H03_S225_F_filt.fastq,Littoral
G10-H04_S121_F_filt.fastq,Littoral
G10-H05_S32_F_filt.fastq,Littoral
G10-H05GL_S211_F_filt.fastq,Littoral
G10-H06_S148_F_filt.fastq,Littoral
G10-H07-GL-ONLY_S21_F_filt.fastq,Littoral
G10-I06_S219_F_filt.fastq,Outgroup
G10-I06_S49_F_filt.fastq,Outgroup
G10-I06-GL_S1_F_filt.fastq,Outgroup
G10-J06_S52_F_filt.fastq,Unknown
G10D08_S175_F_filt.fastq,Outgroup
G10D08-GL_S42_F_filt.fastq,Outgroup
G10D09_S195_F_filt.fastq,Benthic
G10D09_S66_F_filt.fastq,Benthic
G10E01_S176_F_filt.fastq,Benthic
G10E01-GL_S248_F_filt.fastq,Benthic
G10E07_S247_F_filt.fastq,Benthic
G10F05_S213_F_filt.fastq,Benthic
G10F05_S8_F_filt.fastq,Benthic
G10F08-GL_S272_F_filt.fastq,Benthic
G10G05GL_S67_F_filt.fastq,Littoral
G10H10-GL-ONLY_S43_F_filt.fastq,Outgroup
G10I05_S244_F_filt.fastq,Outgroup
G10I05_S253_F_filt.fastq,Outgroup
G10I05-GL_S243_F_filt.fastq,Outgroup
G10J03_S199_F_filt.fastq,Outgroup
G10J03GL_S210_F_filt.fastq,Outgroup
G11-A02_S128_F_filt.fastq,Outgroup
G11-A02-GL_S235_F_filt.fastq,Outgroup
G11-A07-GL-ONLY_S153_F_filt.fastq,Littoral
NO-ID_S251_F_filt.fastq,Unknown
Undetermined_S0_F_filt.fastq,Unknown